Fecha,Producto,Ventas,Región,Prediccion
2020-11-06,Producto D,981.0,Región 1,476
2020-11-07,Producto A,527.0,Región 3,461
2020-11-07,Producto A,698.0,Región 1,176
2020-11-07,Producto A,612.0,Región 3,234
2020-11-07,Producto A,985.0,Región 3,124
2020-11-07,Producto B,478.0,Región 3,459
2020-11-07,Producto C,822.0,Región 4,61
2020-11-07,Producto C,563.0,Región 3,139
2020-11-07,Producto C,331.0,Región 4,163
2020-11-07,Producto D,624.0,Región 2,548
2020-11-07,Producto D,418.0,Región 3,81
2020-11-07,Producto D,527.0,Región 1,760
2020-11-07,Producto D,857.0,Región 4,450
2020-11-08,Producto A,906.0,Región 2,195
2020-11-08,Producto B,706.0,Región 3,319
2020-11-08,Producto B,405.0,Región 2,645
2020-11-08,Producto C,443.0,Región 2,443
2020-11-08,Producto C,979.0,Región 1,212
2020-11-08,Producto C,763.0,Región 3,580
2020-11-08,Producto C,483.0,Región 4,848
2020-11-08,Producto C,674.0,Región 3,633
2020-11-08,Producto D,635.0,Región 1,828
2020-11-09,Producto A,235.0,Región 4,161
2020-11-09,Producto A,507.0,Región 2,800
2020-11-09,Producto A,249.0,Región 3,338
2020-11-09,Producto A,927.0,Región 1,178
2020-11-09,Producto B,314.0,Región 2,615
2020-11-09,Producto B,680.0,Región 3,889
2020-11-09,Producto B,342.0,Región 1,875
2020-11-09,Producto B,959.0,Región 3,595
2020-11-09,Producto B,142.0,Región 3,219
2020-11-09,Producto C,921.0,Región 3,713
2020-11-09,Producto D,862.0,Región 1,128
2020-11-09,Producto D,997.0,Región 1,135
2020-11-10,Producto A,153.0,Región 4,837
2020-11-10,Producto A,948.0,Región 2,880
2020-11-10,Producto B,341.0,Región 2,619
2020-11-10,Producto C,619.0,Región 2,708
2020-11-10,Producto C,459.0,Región 1,191
2020-11-10,Producto D,903.0,Región 2,752
2020-11-11,Producto A,718.0,Región 3,683
2020-11-11,Producto A,688.0,Región 4,762
2020-11-11,Producto A,871.0,Región 1,290
2020-11-11,Producto A,872.0,Región 1,652
2020-11-11,Producto B,963.0,Región 4,329
2020-11-11,Producto B,359.0,Región 2,248
2020-11-11,Producto B,676.0,Región 2,810
2020-11-11,Producto B,676.0,Región 2,717
2020-11-11,Producto B,169.0,Región 4,530
2020-11-11,Producto C,194.0,Región 2,561
2020-11-11,Producto C,586.0,Región 2,844
2020-11-11,Producto C,732.0,Región 3,693
2020-11-11,Producto C,428.0,Región 2,228
2020-11-11,Producto D,215.0,Región 4,748
2020-11-11,Producto D,888.0,Región 2,651
2020-11-11,Producto D,170.0,Región 1,263
2020-11-12,Producto A,573.0,Región 4,573
2020-11-12,Producto B,278.0,Región 1,307
2020-11-12,Producto B,132.0,Región 1,278
2020-11-12,Producto B,640.0,Región 2,66
2020-11-12,Producto B,891.0,Región 3,359
2020-11-12,Producto B,526.0,Región 4,145
2020-11-12,Producto C,992.0,Región 1,376
2020-11-12,Producto C,756.0,Región 3,129
2020-11-12,Producto C,990.0,Región 1,694
2020-11-12,Producto C,228.0,Región 3,150
2020-11-12,Producto D,860.0,Región 4,737
2020-11-12,Producto D,419.0,Región 4,806
2020-11-12,Producto D,456.0,Región 4,311
2020-11-12,Producto D,629.0,Región 4,340
2020-11-13,Producto A,677.0,Región 3,502
2020-11-13,Producto A,704.0,Región 3,476
2020-11-13,Producto B,667.0,Región 3,114
2020-11-13,Producto B,111.0,Región 1,703
2020-11-13,Producto B,841.0,Región 2,341
2020-11-13,Producto C,144.0,Región 1,572
2020-11-13,Producto C,744.0,Región 3,713
2020-11-13,Producto C,437.0,Región 4,249
2020-11-13,Producto C,242.0,Región 3,203
2020-11-13,Producto C,676.0,Región 1,83
2020-11-13,Producto D,627.0,Región 2,424
2020-11-14,Producto A,714.0,Región 3,792
2020-11-14,Producto A,532.0,Región 4,729
2020-11-14,Producto A,390.0,Región 1,864
2020-11-14,Producto A,438.0,Región 1,394
2020-11-14,Producto A,649.0,Región 3,642
2020-11-14,Producto B,625.0,Región 4,366
2020-11-14,Producto B,949.0,Región 3,443
2020-11-14,Producto B,559.0,Región 4,601
2020-11-14,Producto B,281.0,Región 3,338
2020-11-14,Producto B,323.0,Región 4,176
2020-11-14,Producto C,164.0,Región 4,616
2020-11-14,Producto C,651.0,Región 3,474
2020-11-14,Producto C,284.0,Región 1,706
2020-11-14,Producto C,859.0,Región 2,883
2020-11-14,Producto D,606.0,Región 2,140
2020-11-15,Producto A,325.0,Región 4,539
2020-11-15,Producto A,171.0,Región 4,265
2020-11-15,Producto A,854.0,Región 3,141
2020-11-15,Producto A,693.0,Región 1,249
2020-11-15,Producto A,774.0,Región 1,679
2020-11-15,Producto B,590.0,Región 2,874
2020-11-15,Producto B,197.0,Región 2,337
2020-11-15,Producto B,139.0,Región 2,555
2020-11-15,Producto B,646.0,Región 4,251
2020-11-15,Producto B,713.0,Región 1,624
2020-11-15,Producto C,673.0,Región 2,408
2020-11-15,Producto C,535.0,Región 1,370
2020-11-15,Producto C,509.0,Región 2,109
2020-11-15,Producto D,683.0,Región 3,719
2020-11-15,Producto D,479.0,Región 4,297
2020-11-15,Producto D,797.0,Región 4,697
2020-11-15,Producto D,105.0,Región 1,874
2020-11-16,Producto A,199.0,Región 2,356
2020-11-16,Producto B,209.0,Región 4,558
2020-11-16,Producto B,639.0,Región 3,666
2020-11-16,Producto B,398.0,Región 4,607
2020-11-16,Producto B,604.0,Región 3,184
2020-11-16,Producto B,976.0,Región 2,136
2020-11-16,Producto C,841.0,Región 2,761
2020-11-16,Producto C,736.0,Región 4,835
2020-11-16,Producto C,523.0,Región 3,235
2020-11-16,Producto C,573.0,Región 4,720
2020-11-16,Producto C,332.0,Región 2,205
2020-11-16,Producto D,768.0,Región 2,778
2020-11-16,Producto D,959.0,Región 4,436
2020-11-16,Producto D,259.0,Región 1,419
2020-11-16,Producto D,358.0,Región 2,258
2020-11-16,Producto D,534.0,Región 3,401
2020-11-17,Producto A,154.0,Región 4,767
2020-11-17,Producto A,625.0,Región 1,750
2020-11-17,Producto A,440.0,Región 1,328
2020-11-17,Producto A,534.0,Región 4,840
2020-11-17,Producto A,253.0,Región 2,798
2020-11-17,Producto B,551.0,Región 4,799
2020-11-17,Producto B,654.0,Región 2,58
2020-11-17,Producto B,180.0,Región 3,291
2020-11-17,Producto B,229.0,Región 1,854
2020-11-17,Producto C,750.0,Región 4,73
2020-11-17,Producto C,542.0,Región 4,371
2020-11-17,Producto D,535.0,Región 4,772
2020-11-18,Producto A,131.0,Región 2,560
2020-11-18,Producto A,989.0,Región 1,55
2020-11-18,Producto A,883.0,Región 1,290
2020-11-18,Producto A,546.0,Región 3,764
2020-11-18,Producto B,904.0,Región 2,750
2020-11-18,Producto B,175.0,Región 1,396
2020-11-18,Producto C,308.0,Región 2,467
2020-11-18,Producto C,278.0,Región 1,752
2020-11-18,Producto C,541.0,Región 4,783
2020-11-18,Producto C,492.0,Región 1,574
2020-11-18,Producto D,772.0,Región 4,738
2020-11-18,Producto D,896.0,Región 2,894
2020-11-18,Producto D,594.0,Región 3,197
2020-11-18,Producto D,898.0,Región 2,722
2020-11-19,Producto A,477.0,Región 4,867
2020-11-19,Producto A,278.0,Región 3,303
2020-11-19,Producto A,472.0,Región 1,694
2020-11-19,Producto A,961.0,Región 4,720
2020-11-19,Producto B,471.0,Región 2,441
2020-11-19,Producto B,175.0,Región 1,393
2020-11-19,Producto C,446.0,Región 3,372
2020-11-19,Producto C,763.0,Región 3,450
2020-11-19,Producto C,407.0,Región 3,831
2020-11-19,Producto D,505.0,Región 2,569
2020-11-19,Producto D,415.0,Región 1,355
2020-11-19,Producto D,284.0,Región 2,836
2020-11-19,Producto D,117.0,Región 2,633
2020-11-20,Producto A,144.0,Región 4,623
2020-11-20,Producto A,845.0,Región 2,50
2020-11-20,Producto A,837.0,Región 2,407
2020-11-20,Producto A,804.0,Región 4,596
2020-11-20,Producto B,133.0,Región 4,668
2020-11-20,Producto B,940.0,Región 1,625
2020-11-20,Producto B,975.0,Región 1,123
2020-11-20,Producto B,464.0,Región 1,689
2020-11-20,Producto B,442.0,Región 4,405
2020-11-20,Producto C,580.0,Región 2,829
2020-11-20,Producto C,815.0,Región 1,530
2020-11-20,Producto C,978.0,Región 3,765
2020-11-20,Producto C,750.0,Región 1,145
2020-11-20,Producto D,135.0,Región 2,865
2020-11-20,Producto D,798.0,Región 3,362
2020-11-20,Producto D,280.0,Región 2,711
2020-11-20,Producto D,196.0,Región 4,769
2020-11-20,Producto D,883.0,Región 2,355
2020-11-21,Producto A,358.0,Región 3,503
2020-11-21,Producto A,613.0,Región 3,457
2020-11-21,Producto B,599.0,Región 2,460
2020-11-21,Producto B,356.0,Región 3,505
2020-11-21,Producto B,976.0,Región 2,760
2020-11-21,Producto B,707.0,Región 3,839
2020-11-21,Producto B,880.0,Región 2,663
2020-11-21,Producto C,885.0,Región 3,335
2020-11-21,Producto D,422.0,Región 3,533
2020-11-21,Producto D,133.0,Región 3,560
2020-11-21,Producto D,325.0,Región 3,469
2020-11-21,Producto D,702.0,Región 3,795
2020-11-21,Producto D,575.0,Región 3,368
2020-11-22,Producto A,394.0,Región 4,501
2020-11-22,Producto A,281.0,Región 3,632
2020-11-22,Producto A,902.0,Región 1,188
2020-11-22,Producto A,929.0,Región 1,137
2020-11-22,Producto B,691.0,Región 4,184
2020-11-22,Producto B,133.0,Región 4,753
2020-11-22,Producto B,901.0,Región 4,673
2020-11-22,Producto B,146.0,Región 2,480
2020-11-22,Producto B,164.0,Región 4,333
2020-11-22,Producto C,512.0,Región 2,564
2020-11-22,Producto C,447.0,Región 2,460
2020-11-22,Producto C,791.0,Región 4,440
2020-11-22,Producto D,934.0,Región 2,393
2020-11-22,Producto D,184.0,Región 3,886
2020-11-22,Producto D,691.0,Región 2,277
2020-11-22,Producto D,215.0,Región 2,836
2020-11-23,Producto A,916.0,Región 2,151
2020-11-23,Producto A,786.0,Región 3,893
2020-11-23,Producto A,322.0,Región 1,303
2020-11-23,Producto B,208.0,Región 3,80
2020-11-23,Producto B,645.0,Región 2,811
2020-11-23,Producto C,350.0,Región 3,141
2020-11-23,Producto C,550.0,Región 1,561
2020-11-23,Producto C,659.0,Región 2,768
2020-11-23,Producto D,557.0,Región 4,94
2020-11-23,Producto D,920.0,Región 4,667
2020-11-24,Producto A,984.0,Región 2,688
2020-11-24,Producto A,258.0,Región 3,460
2020-11-24,Producto A,540.0,Región 1,94
2020-11-24,Producto A,847.0,Región 1,736
2020-11-24,Producto A,983.0,Región 3,244
2020-11-24,Producto B,894.0,Región 1,365
2020-11-24,Producto B,450.0,Región 2,813
2020-11-24,Producto C,760.0,Región 3,647
2020-11-24,Producto C,445.0,Región 3,749
2020-11-24,Producto C,637.0,Región 3,641
2020-11-24,Producto D,736.0,Región 4,529
2020-11-24,Producto D,833.0,Región 2,69
2020-11-24,Producto D,319.0,Región 2,579
2020-11-24,Producto D,163.0,Región 2,414
2020-11-25,Producto A,795.0,Región 4,135
2020-11-25,Producto A,995.0,Región 4,667
2020-11-25,Producto A,453.0,Región 1,231
2020-11-25,Producto A,346.0,Región 1,621
2020-11-25,Producto B,620.0,Región 2,796
2020-11-25,Producto B,409.0,Región 4,484
2020-11-25,Producto B,783.0,Región 3,481
2020-11-25,Producto B,297.0,Región 2,763
2020-11-25,Producto B,583.0,Región 4,582
2020-11-25,Producto C,142.0,Región 1,441
2020-11-25,Producto C,142.0,Región 4,159
2020-11-25,Producto C,509.0,Región 3,354
2020-11-25,Producto C,675.0,Región 1,653
2020-11-25,Producto D,224.0,Región 3,245
2020-11-26,Producto A,463.0,Región 4,831
2020-11-26,Producto A,394.0,Región 3,340
2020-11-26,Producto A,834.0,Región 2,477
2020-11-26,Producto B,428.0,Región 3,445
2020-11-26,Producto B,922.0,Región 1,283
2020-11-26,Producto B,954.0,Región 4,657
2020-11-26,Producto B,434.0,Región 3,625
2020-11-26,Producto B,174.0,Región 4,455
2020-11-26,Producto C,867.0,Región 3,313
2020-11-26,Producto D,451.0,Región 4,110
2020-11-26,Producto D,754.0,Región 1,304
2020-11-27,Producto A,735.0,Región 2,629
2020-11-27,Producto B,693.0,Región 2,872
2020-11-27,Producto B,116.0,Región 4,694
2020-11-27,Producto B,100.0,Región 4,286
2020-11-27,Producto B,617.0,Región 3,446
2020-11-27,Producto B,182.0,Región 3,606
2020-11-27,Producto C,156.0,Región 4,505
2020-11-27,Producto D,236.0,Región 3,775
2020-11-27,Producto D,354.0,Región 3,188
2020-11-28,Producto A,208.0,Región 2,676
2020-11-28,Producto A,640.0,Región 3,482
2020-11-28,Producto A,307.0,Región 1,778
2020-11-28,Producto A,477.0,Región 2,811
2020-11-28,Producto A,653.0,Región 2,479
2020-11-28,Producto B,916.0,Región 3,490
2020-11-28,Producto B,300.0,Región 4,106
2020-11-28,Producto B,562.0,Región 2,280
2020-11-28,Producto B,978.0,Región 2,329
2020-11-28,Producto C,545.0,Región 1,510
2020-11-28,Producto C,736.0,Región 1,900
2020-11-28,Producto C,196.0,Región 4,180
2020-11-28,Producto D,529.0,Región 2,706
2020-11-28,Producto D,331.0,Región 1,789
2020-11-28,Producto D,843.0,Región 4,652
2020-11-28,Producto D,929.0,Región 4,777
2020-11-29,Producto A,525.0,Región 2,578
2020-11-29,Producto A,293.0,Región 2,814
2020-11-29,Producto A,353.0,Región 1,64
2020-11-29,Producto B,352.0,Región 3,537
2020-11-29,Producto B,568.0,Región 3,100
2020-11-29,Producto B,970.0,Región 4,697
2020-11-29,Producto C,116.0,Región 3,497
2020-11-29,Producto C,222.0,Región 2,517
2020-11-29,Producto C,590.0,Región 2,503
2020-11-29,Producto D,349.0,Región 3,198
2020-11-30,Producto A,126.0,Región 2,708
2020-11-30,Producto A,686.0,Región 3,68
2020-11-30,Producto A,795.0,Región 1,153
2020-11-30,Producto B,616.0,Región 4,640
2020-11-30,Producto B,386.0,Región 1,426
2020-11-30,Producto B,601.0,Región 1,503
2020-11-30,Producto C,445.0,Región 3,644
2020-11-30,Producto C,393.0,Región 3,781
2020-11-30,Producto C,338.0,Región 2,833
2020-11-30,Producto C,138.0,Región 1,396
2020-11-30,Producto C,221.0,Región 2,858
2020-11-30,Producto D,274.0,Región 4,159
2020-11-30,Producto D,797.0,Región 1,661
2020-11-30,Producto D,997.0,Región 2,633
2020-11-30,Producto D,228.0,Región 2,99
2020-12-01,Producto A,108.0,Región 4,642
2020-12-01,Producto A,901.0,Región 2,650
2020-12-01,Producto A,974.0,Región 1,581
2020-12-01,Producto A,586.0,Región 1,476
2020-12-01,Producto A,772.0,Región 1,93
2020-12-01,Producto B,309.0,Región 2,683
2020-12-01,Producto B,488.0,Región 3,194
2020-12-01,Producto B,484.0,Región 1,208
2020-12-01,Producto B,816.0,Región 2,411
2020-12-01,Producto C,930.0,Región 2,863
2020-12-01,Producto C,339.0,Región 1,71
2020-12-01,Producto C,377.0,Región 2,87
2020-12-01,Producto C,878.0,Región 1,513
2020-12-01,Producto C,601.0,Región 1,626
2020-12-01,Producto D,505.0,Región 2,887
2020-12-01,Producto D,906.0,Región 2,312
2020-12-02,Producto A,921.0,Región 1,628
2020-12-02,Producto A,423.0,Región 1,371
2020-12-02,Producto A,812.0,Región 1,770
2020-12-02,Producto A,768.0,Región 3,646
2020-12-02,Producto B,157.0,Región 3,547
2020-12-02,Producto B,570.0,Región 2,731
2020-12-02,Producto B,360.0,Región 2,700
2020-12-02,Producto C,509.0,Región 4,306
2020-12-02,Producto C,698.0,Región 1,340
2020-12-02,Producto C,585.0,Región 2,673
2020-12-02,Producto D,866.0,Región 2,722
2020-12-02,Producto D,937.0,Región 3,563
2020-12-02,Producto D,894.0,Región 1,546
2020-12-03,Producto A,353.0,Región 1,263
2020-12-03,Producto B,322.0,Región 4,835
2020-12-03,Producto B,874.0,Región 4,756
2020-12-03,Producto B,135.0,Región 4,622
2020-12-03,Producto B,410.0,Región 2,306
2020-12-03,Producto C,315.0,Región 4,282
2020-12-03,Producto C,551.0,Región 2,242
2020-12-03,Producto C,677.0,Región 2,712
2020-12-03,Producto C,880.0,Región 2,823
2020-12-03,Producto C,594.0,Región 4,610
2020-12-03,Producto D,501.0,Región 2,343
2020-12-03,Producto D,929.0,Región 4,267
2020-12-03,Producto D,368.0,Región 4,585
2020-12-04,Producto A,224.0,Región 1,644
2020-12-04,Producto A,811.0,Región 2,621
2020-12-04,Producto A,862.0,Región 1,170
2020-12-04,Producto A,307.0,Región 1,324
2020-12-04,Producto B,431.0,Región 1,809
2020-12-04,Producto B,812.0,Región 2,553
2020-12-04,Producto C,348.0,Región 1,273
2020-12-04,Producto C,184.0,Región 1,383
2020-12-04,Producto D,342.0,Región 1,322
2020-12-04,Producto D,903.0,Región 2,820
2020-12-04,Producto D,227.0,Región 1,367
2020-12-04,Producto D,663.0,Región 3,357
2020-12-05,Producto A,567.0,Región 4,802
2020-12-05,Producto B,897.0,Región 2,289
2020-12-05,Producto B,270.0,Región 3,456
2020-12-05,Producto B,864.0,Región 2,249
2020-12-05,Producto B,259.0,Región 1,458
2020-12-05,Producto C,269.0,Región 1,226
2020-12-05,Producto C,193.0,Región 4,863
2020-12-05,Producto C,805.0,Región 1,810
2020-12-05,Producto D,337.0,Región 4,302
2020-12-06,Producto A,218.0,Región 4,327
2020-12-06,Producto A,860.0,Región 2,54
2020-12-06,Producto A,457.0,Región 4,446
2020-12-06,Producto A,182.0,Región 1,82
2020-12-06,Producto A,770.0,Región 1,347
2020-12-06,Producto B,360.0,Región 2,829
2020-12-06,Producto C,377.0,Región 3,292
2020-12-06,Producto D,102.0,Región 3,473
2020-12-06,Producto D,326.0,Región 4,282
2020-12-06,Producto D,435.0,Región 3,674
2020-12-06,Producto D,239.0,Región 2,401
2020-12-07,Producto A,504.0,Región 3,250
2020-12-07,Producto A,668.0,Región 3,827
2020-12-07,Producto A,692.0,Región 4,281
2020-12-07,Producto A,460.0,Región 3,118
2020-12-07,Producto A,738.0,Región 3,760
2020-12-07,Producto B,790.0,Región 1,408
2020-12-07,Producto B,938.0,Región 3,262
2020-12-07,Producto C,529.0,Región 3,490
2020-12-07,Producto C,335.0,Región 2,153
2020-12-07,Producto C,894.0,Región 1,795
2020-12-07,Producto C,830.0,Región 4,651
2020-12-07,Producto D,763.0,Región 2,717
2020-12-07,Producto D,104.0,Región 1,389
2020-12-07,Producto D,639.0,Región 2,756
2020-12-08,Producto A,211.0,Región 1,865
2020-12-08,Producto B,885.0,Región 3,791
2020-12-08,Producto C,759.0,Región 3,334
2020-12-08,Producto C,142.0,Región 4,77
2020-12-08,Producto C,529.0,Región 1,696
2020-12-08,Producto C,125.0,Región 4,293
2020-12-08,Producto D,111.0,Región 2,615
2020-12-08,Producto D,603.0,Región 2,885
2020-12-08,Producto D,499.0,Región 4,807
2020-12-08,Producto D,439.0,Región 3,212
2020-12-09,Producto A,646.0,Región 2,277
2020-12-09,Producto A,604.0,Región 2,432
2020-12-09,Producto A,533.0,Región 2,129
2020-12-09,Producto A,109.0,Región 4,86
2020-12-09,Producto B,664.0,Región 4,350
2020-12-09,Producto C,578.0,Región 1,812
2020-12-09,Producto C,903.0,Región 4,93
2020-12-09,Producto C,420.0,Región 3,858
2020-12-09,Producto C,179.0,Región 1,889
2020-12-09,Producto C,839.0,Región 3,323
2020-12-09,Producto D,411.0,Región 1,583
2020-12-09,Producto D,957.0,Región 4,367
2020-12-09,Producto D,173.0,Región 2,600
2020-12-09,Producto D,946.0,Región 3,168
2020-12-10,Producto A,525.0,Región 1,686
2020-12-10,Producto A,244.0,Región 3,165
2020-12-10,Producto A,471.0,Región 3,78
2020-12-10,Producto B,861.0,Región 4,538
2020-12-10,Producto B,251.0,Región 1,753
2020-12-10,Producto B,819.0,Región 2,642
2020-12-10,Producto C,337.0,Región 2,337
2020-12-10,Producto C,536.0,Región 2,414
2020-12-10,Producto C,688.0,Región 4,195
2020-12-10,Producto D,898.0,Región 2,597
2020-12-10,Producto D,451.0,Región 2,746
2020-12-10,Producto D,246.0,Región 3,813
2020-12-11,Producto A,336.0,Región 3,68
2020-12-11,Producto B,146.0,Región 3,526
2020-12-11,Producto B,992.0,Región 2,608
2020-12-11,Producto B,672.0,Región 3,536
2020-12-11,Producto C,838.0,Región 2,106
2020-12-11,Producto C,626.0,Región 4,467
2020-12-11,Producto C,943.0,Región 3,262
2020-12-11,Producto D,818.0,Región 2,883
2020-12-12,Producto A,590.0,Región 2,559
2020-12-12,Producto A,227.0,Región 3,394
2020-12-12,Producto B,901.0,Región 2,691
2020-12-12,Producto B,449.0,Región 4,678
2020-12-12,Producto C,431.0,Región 1,390
2020-12-12,Producto D,830.0,Región 2,290
2020-12-12,Producto D,803.0,Región 3,279
2020-12-12,Producto D,745.0,Región 2,490
2020-12-13,Producto A,859.0,Región 1,788
2020-12-13,Producto A,575.0,Región 2,578
2020-12-13,Producto A,907.0,Región 1,171
2020-12-13,Producto B,137.0,Región 4,757
2020-12-13,Producto B,997.0,Región 4,318
2020-12-13,Producto B,926.0,Región 3,733
2020-12-13,Producto B,880.0,Región 1,715
2020-12-13,Producto B,532.0,Región 1,624
2020-12-13,Producto C,795.0,Región 3,658
2020-12-13,Producto D,520.0,Región 3,273
2020-12-13,Producto D,623.0,Región 4,877
2020-12-14,Producto A,360.0,Región 4,255
2020-12-14,Producto B,789.0,Región 4,474
2020-12-14,Producto B,427.0,Región 4,893
2020-12-14,Producto B,403.0,Región 3,795
2020-12-14,Producto C,296.0,Región 1,179
2020-12-14,Producto C,993.0,Región 4,412
2020-12-14,Producto D,982.0,Región 4,732
2020-12-14,Producto D,672.0,Región 3,404
2020-12-14,Producto D,926.0,Región 2,737
2020-12-14,Producto D,377.0,Región 1,161
2020-12-15,Producto A,204.0,Región 1,53
2020-12-15,Producto A,920.0,Región 2,250
2020-12-15,Producto A,651.0,Región 1,868
2020-12-15,Producto B,765.0,Región 3,836
2020-12-15,Producto C,573.0,Región 2,830
2020-12-15,Producto D,505.0,Región 3,781
2020-12-15,Producto D,972.0,Región 2,712
2020-12-15,Producto D,948.0,Región 4,369
2020-12-15,Producto D,279.0,Región 2,215
2020-12-15,Producto D,750.0,Región 1,241
2020-12-16,Producto A,303.0,Región 3,616
2020-12-16,Producto A,244.0,Región 1,712
2020-12-16,Producto B,502.0,Región 4,423
2020-12-16,Producto B,952.0,Región 1,516
2020-12-16,Producto B,816.0,Región 1,672
2020-12-16,Producto C,146.0,Región 4,686
2020-12-16,Producto C,513.0,Región 1,380
2020-12-16,Producto D,594.0,Región 1,494
2020-12-16,Producto D,275.0,Región 3,303
2020-12-17,Producto A,765.0,Región 2,217
2020-12-17,Producto A,537.0,Región 2,726
2020-12-17,Producto A,669.0,Región 1,214
2020-12-17,Producto A,523.0,Región 3,861
2020-12-17,Producto A,158.0,Región 2,176
2020-12-17,Producto B,504.0,Región 4,415
2020-12-17,Producto B,888.0,Región 1,102
2020-12-17,Producto B,234.0,Región 4,419
2020-12-17,Producto B,331.0,Región 4,240
2020-12-17,Producto C,559.0,Región 1,744
2020-12-17,Producto D,982.0,Región 3,481
2020-12-17,Producto D,533.0,Región 3,528
2020-12-17,Producto D,159.0,Región 4,333
2020-12-18,Producto A,535.0,Región 3,671
2020-12-18,Producto A,621.0,Región 4,406
2020-12-18,Producto A,478.0,Región 3,544
2020-12-18,Producto A,408.0,Región 3,875
2020-12-18,Producto B,404.0,Región 4,862
2020-12-18,Producto C,245.0,Región 2,591
2020-12-18,Producto C,958.0,Región 4,849
2020-12-18,Producto C,438.0,Región 2,244
2020-12-18,Producto D,518.0,Región 2,795
2020-12-19,Producto A,728.0,Región 1,712
2020-12-19,Producto A,785.0,Región 1,830
2020-12-19,Producto A,112.0,Región 2,717
2020-12-19,Producto A,590.0,Región 2,502
2020-12-19,Producto A,930.0,Región 2,99
2020-12-19,Producto B,974.0,Región 2,894
2020-12-19,Producto C,838.0,Región 4,574
2020-12-19,Producto C,850.0,Región 4,821
2020-12-19,Producto D,471.0,Región 1,115
2020-12-19,Producto D,378.0,Región 2,632
2020-12-20,Producto A,217.0,Región 4,106
2020-12-20,Producto A,358.0,Región 1,559
2020-12-20,Producto A,957.0,Región 3,277
2020-12-20,Producto B,861.0,Región 2,710
2020-12-20,Producto B,692.0,Región 3,652
2020-12-20,Producto B,658.0,Región 3,874
